Project,Dataset,Age,LoC,Total Commits,Source buildable commits,Source buildability,Test buildable commits,Test buildability,Testable commits,Testability_C,Testability_B,Testability_T
elastic-job,ManySStub4J,2349,25310.0,2160,2032,0.9407407407407408,2026,0.9970472440944882,1154,0.5342592592592592,0.5679133858267716,0.5695952615992103
dubbo,ManySStub4J,3535,132114.0,4686,2543,0.5426803243704652,2351,0.9244986236728274,110,0.023474178403755867,0.04325599685410932,0.04678860059549128
zheng,ManySStub4J,1062,15116.0,1241,257,0.20709105560032232,0,0.0,0,0.0,0.0,0.0
druid,ManySStub4J,3685,258660.0,6440,3472,0.5391304347826087,3392,0.9769585253456221,1143,0.17748447204968945,0.329205069124424,0.33696933962264153
disconf,ManySStub4J,1518,3012.0,1158,772,0.6666666666666666,686,0.8886010362694301,137,0.11830742659758203,0.17746113989637305,0.19970845481049562
dex2jar,ManySStub4J,3454,26703.0,558,313,0.5609318996415771,312,0.9968051118210862,229,0.4103942652329749,0.731629392971246,0.7339743589743589
deeplearning4j,ManySStub4J,361,460949.0,948,0,0.0,0,0.0,0,0.0,0.0,0.0
dagger,ManySStub4J,3095,7190.0,703,376,0.534850640113798,376,1.0,373,0.5305832147937412,0.9920212765957447,0.9920212765957447
cucumber-jvm,ManySStub4J,4530,36390.0,5143,1819,0.3536846198716702,1485,0.8163826278174822,933,0.18141162745479292,0.5129191863661352,0.6282828282828283
crawler4j,ManySStub4J,3199,4256.0,515,282,0.5475728155339806,262,0.9290780141843972,232,0.45048543689320386,0.8226950354609929,0.8854961832061069
closure-compiler,ManySStub4J,4250,290451.0,17016,10241,0.6018453220498354,10183,0.9943364905770921,9498,0.5581805359661495,0.9274484913582658,0.9327310222920554
clojure,ManySStub4J,5473,33067.0,3347,1786,0.5336121900209142,0,0.0,0,0.0,0.0,0.0
dropwizard,ManySStub4J,1170,14898.0,2069,599,0.28951184146930886,599,1.0,578,0.27936201063315613,0.9649415692821369,0.9649415692821369
zxing,ManySStub4J,4977,36515.0,3584,913,0.25474330357142855,910,0.9967141292442497,889,0.248046875,0.9737130339539978,0.9769230769230769
