error,count
"syntax error, error in :&#x27;ROWS FETCH NEXT 5 ROWS ONLY;&#x27;,expect FETCH, actual FETCH FETCH",3
TODO,1
"ERROR. token : HANDLER, pos : 134",21
"ERROR. token : FOUND, pos : 127",21
Unable to find class: com.alibaba.druid.pool.DruidDataSourceConverter,1
-1,1
1.1 is not a number!,5
.5000000000 is not a number!,1
0.5 is not a number!,2
0.2 is not a number!,2
32032.6809e+10 is not a number!,1
294.42 is not a number!,1
77.3 is not a number!,1
12e-2 is not a number!,2
1.001 is not a number!,7
1.2E3 is not a number!,1
1.05 is not a number!,3
9.99 is not a number!,2
1.25 is not a number!,2
250000.00 is not a number!,1
2.0 is not a number!,1
1.23 is not a number!,3
12.0123 is not a number!,1
1.10 is not a number!,1
7.77 is not a number!,1
34.0 is not a number!,2
9223372036854775808.0 is not a number!,1
0.1 is not a number!,1
3.5 is not a number!,1
34.6426417370 is not a number!,1
18014398509481984.0 is not a number!,1
1.02 is not a number!,1
0.000000000000000000 is not a number!,1
2.5 is not a number!,1
1.0001 is not a number!,1
6.34 is not a number!,1
12332.123456 is not a number!,1
111.12 is not a number!,1
5.8764601401 is not a number!,1
11.0 is not a number!,2
.003819444444444444444444444444444444444444 is not a number!,1
0.01 is not a number!,1
Invalid IP Address [128.242.127.0],6
Invalid IP Address [10.16.200.0],3
Invalid IP Address [0.0.0.0],6
org.apache.logging.log4j.core.config.ConfigurationFactory.getConfiguration(Lorg/apache/logging/log4j/core/config/ConfigurationSource;)Lorg/apache/logging/log4j/core/config/Configuration;,35
"syntax error, error in :&#x27;ARE  CURSOR c1 IS    SELECT last_na&#x27;,expect BEGIN, actual CURSOR CURSOR",1
"syntax error, error in :&#x27;ARE  CURSOR c1 IS    SELECT * FROM &#x27;,expect BEGIN, actual CURSOR CURSOR",1
"ERROR. token : SEMI, pos : 570",2
"syntax error, error in :&#x27;/* 72582af814768580067726386d3&#x27;,expect MULTI_LINE_COMMENT, actual MULTI_LINE_COMMENT /* 72582af814768580067726386d39b6/0// */",2
"syntax error, error in :&#x27;/* cds internal mark */select &#x27;,expect MULTI_LINE_COMMENT, actual MULTI_LINE_COMMENT /* cds internal mark */",2
"syntax error, error in :&#x27;/* 0a67bca314863468702364451e/&#x27;,expect MULTI_LINE_COMMENT, actual MULTI_LINE_COMMENT /* 0a67bca314863468702364451e/0.3// */",4
"syntax error, error in :&#x27;/* 0bfacfa414829200086238910e/&#x27;,expect MULTI_LINE_COMMENT, actual MULTI_LINE_COMMENT /* 0bfacfa414829200086238910e/0.3// */",2
"syntax error, error in :&#x27;/* 0bba613214845441110397435e/&#x27;,expect MULTI_LINE_COMMENT, actual MULTI_LINE_COMMENT /* 0bba613214845441110397435e/0.4.6.25// */",2
"syntax error, error in :&#x27;_ops`/*20140512152820##%2Fbase.php%&#x27;,expect MULTI_LINE_COMMENT, actual MULTI_LINE_COMMENT /*20140512152820##%2Fbase.php%3Fshopid%3D%26module%3Dpms%26action%3DqualityItem%26op_id%3D756%26params%3Dcase%253Aupdate%252Ctable%253Aquality%252Corder_id%253A201405090006DL%252Creceive_no%253AQCI01201405090006DL%252Creceive_treat%253AALL_DONE%260.5652460628381133*/",2
syntax error,3
"Index: 999, Size: 0",2
0,3
"syntax error, error in :&#x27;C1M&quot; NOCOM&#x27;,expect RPAREN, actual IDENTIFIER pos 3995, line 63, column 25, token IDENTIFIER NOCOM",7
"ERROR. pos 102, line 1, column 98, token MERGE",1
name is null.,1
"syntax error, error in :&#x27;TURN V_RETURN; &#x27;, expect END, actual EOF pos 2964, line 59, column 22, token EOF",16
"syntax error, expect LPAREN, actual IDENTIFIER pos 51, line 3, column 30, token IDENTIFIER w",4
com.alibaba.druid.sql.ast.expr.SQLMethodInvokeExpr cannot be cast to com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr,2
"syntax error, error in :&#x27;1e2t as col from t; #end #begin -- &#x27;, expect AS, actual AS pos 1292, line 36, column 13, token AS",11
"TODO pos 88, line 2, column 59, token IDENTIFIER m",9
"syntax error, error in :&#x27;EA ) ON COMMIT PRESERVE ROWS&#x27;, expect ON, actual ON pos 150, line 6, column 3, token ON",9
"syntax error, error in :&#x27;0_ID DESC&#x27;, expect RPAREN, actual EOF pos 8840, line 153, column 69, token EOF",1
