id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
660,c15aca3,SUCCESS,8,SUCCESS,6,SUCCESS,22,2018-09-17 18:08:44 +0800,rm 不特 in core.dic,42,988
661,515fd62,SUCCESS,8,SUCCESS,6,SUCCESS,23,2018-09-19 15:25:19 +0800,Update .travis.yml,42,988
662,4342872,SUCCESS,6,SUCCESS,5,SUCCESS,22,2018-09-19 15:27:47 +0800,Update .travis.yml,42,988
663,70a82d0,SUCCESS,6,SUCCESS,6,SUCCESS,22,2018-09-19 15:36:23 +0800,Update .travis.yml,42,988
664,7bbb20b,SUCCESS,8,SUCCESS,6,SUCCESS,22,2018-09-19 15:38:05 +0800,Update .travis.yml,42,988
665,8f4ff1a,SUCCESS,8,SUCCESS,6,SUCCESS,24,2018-09-19 15:42:54 +0800,Update .travis.yml,42,988
666,4d96755,SUCCESS,6,SUCCESS,5,SUCCESS,21,2018-09-19 15:45:30 +0800,Update .travis.yml,42,988
667,c958784,SUCCESS,7,SUCCESS,5,SUCCESS,25,2018-09-19 16:04:52 +0800,Update .travis.yml,42,988
668,54d7b45,SUCCESS,6,SUCCESS,6,SUCCESS,22,2018-09-19 18:54:10 +0800,Merge pull request #682 from zhangxuelai/master,42,988
669,3a9dc67,SUCCESS,7,SUCCESS,6,SUCCESS,23,2018-09-28 13:48:20 +0800,add oos.close();,42,988
670,40b3b8f,SUCCESS,7,SUCCESS,5,SUCCESS,23,2018-09-29 18:23:52 +0800,Merge pull request #691 from HinsHe/master,42,988
671,f4c4614,SUCCESS,7,SUCCESS,6,SUCCESS,23,2018-09-30 18:14:36 +0800,添加汉字○,42,988
672,d04bcfe,SUCCESS,7,SUCCESS,6,SUCCESS,21,2018-09-30 18:19:18 +0800,修改部分正则错误,42,988
673,5b7811f,SUCCESS,7,SUCCESS,5,SUCCESS,22,2018-09-30 19:17:23 +0800,Merge pull request #692 from HinsHe/master,42,988
674,da50817,SUCCESS,8,SUCCESS,5,SUCCESS,23,2018-10-01 13:20:33 +0800,uyp,42,988
675,d5344ab,SUCCESS,9,SUCCESS,6,SUCCESS,23,2018-12-07 09:54:37 +0800,修复图结构,41,976
