id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
47,36082ed4,FAIL,300,NO,0,NO,0,2008-07-29 14:33:24 +0000,Add needed bundles for servicemix-osworkflow,0,0
48,658ee6f9,FAIL,21,NO,0,NO,0,2008-08-01 19:14:53 +0000,Add a few bundles,0,0
49,191f3606,FAIL,15,NO,0,NO,0,2008-08-08 10:32:02 +0000,SM4-83: Removing an import that is wrongfully generated in the Groovy bundle OSGi manifest,0,0
50,42ecfba5,FAIL,15,NO,0,NO,0,2008-08-27 02:51:35 +0000,exclude bcprov-jdk13,0,0
51,3b0af682,FAIL,16,NO,0,NO,0,2008-09-04 13:56:23 +0000,Make sure artifacts are signed when released,0,0
52,7b482439,FAIL,14,NO,0,NO,0,2008-09-04 13:57:23 +0000,Add a bundle for woodstox 3.2.7,0,0
53,785a057e,FAIL,14,NO,0,NO,0,2008-09-04 13:59:14 +0000,[maven-release-plugin] prepare release bundles-pom-2,0,0
54,5b9b862a,FAIL,15,NO,0,NO,0,2008-09-04 13:59:18 +0000,[maven-release-plugin] prepare for next development iteration,0,0
55,81136c3b,FAIL,15,NO,0,NO,0,2008-09-04 14:12:52 +0000,"Configure the release plugin correctly, rollback release",0,0
56,5c2bbf8d,FAIL,13,NO,0,NO,0,2008-09-04 14:14:20 +0000,[maven-release-plugin] prepare release bundles-pom-2,0,0
57,43e15e45,FAIL,15,NO,0,NO,0,2008-09-04 14:14:23 +0000,[maven-release-plugin] prepare for next development iteration,0,0
58,c1e3a0fb,FAIL,22,NO,0,NO,0,2008-09-04 14:17:58 +0000,Upgrade to the pom being released,0,0
59,474ffa0c,FAIL,12,NO,0,NO,0,2008-09-04 14:18:54 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-httpclient-3.1_1,0,0
60,467865c8,FAIL,13,NO,0,NO,0,2008-09-04 14:18:59 +0000,[maven-release-plugin] prepare for next development iteration,0,0
61,55451939,FAIL,18,NO,0,NO,0,2008-09-04 14:24:46 +0000,Upgrade to the pom being released,0,0
62,0b769228,FAIL,14,NO,0,NO,0,2008-09-04 14:26:27 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.antlr-3.0.1_1,0,0
63,73321064,FAIL,13,NO,0,NO,0,2008-09-04 14:26:34 +0000,[maven-release-plugin] prepare for next development iteration,0,0
64,d7b59b21,FAIL,12,NO,0,NO,0,2008-09-04 14:27:43 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.antlr-runtime-3.0.1_1,0,0
65,6692aba3,FAIL,13,NO,0,NO,0,2008-09-04 14:27:48 +0000,[maven-release-plugin] prepare for next development iteration,0,0
66,1cd51d20,FAIL,13,NO,0,NO,0,2008-09-04 14:28:50 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.commons-net-1.4.1_1,0,0
67,4c0c52cd,FAIL,35,NO,0,NO,0,2008-09-04 14:28:56 +0000,[maven-release-plugin] prepare for next development iteration,0,0
68,23b67c32,FAIL,14,NO,0,NO,0,2008-09-04 14:34:27 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.drools-4.0.7_1,0,0
69,1af48bce,FAIL,13,NO,0,NO,0,2008-09-04 14:34:33 +0000,[maven-release-plugin] prepare for next development iteration,0,0
70,f7e208f1,FAIL,11,NO,0,NO,0,2008-09-04 14:37:14 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.groovy-1.5.6_1,0,0
71,23e5c47f,FAIL,13,NO,0,NO,0,2008-09-04 14:37:26 +0000,[maven-release-plugin] prepare for next development iteration,0,0
72,84961b7b,FAIL,13,NO,0,NO,0,2008-09-04 14:39:41 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.howl-1.0.1-1_1,0,0
73,95136ec9,FAIL,18,NO,0,NO,0,2008-09-04 14:39:55 +0000,[maven-release-plugin] prepare for next development iteration,0,0
74,e05f1964,FAIL,16,NO,0,NO,0,2008-09-04 14:41:40 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jaxb-impl-2.1.6_1,0,0
75,ec50d99a,FAIL,29,NO,0,NO,0,2008-09-04 14:41:50 +0000,[maven-release-plugin] prepare for next development iteration,0,0
76,2b674128,FAIL,14,NO,0,NO,0,2008-09-04 14:44:44 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jdt-core-3.2.3_1,0,0
77,8b4c28f2,FAIL,16,NO,0,NO,0,2008-09-04 14:44:55 +0000,[maven-release-plugin] prepare for next development iteration,0,0
78,c98e874e,FAIL,14,NO,0,NO,0,2008-09-04 14:46:57 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.jencks-2.1_1,0,0
79,cadab5af,FAIL,15,NO,0,NO,0,2008-09-04 14:47:08 +0000,[maven-release-plugin] prepare for next development iteration,0,0
80,80e45d8e,FAIL,30,NO,0,NO,0,2008-09-04 14:48:20 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.neethi-2.0.4_1,0,0
81,2c79cbce,FAIL,15,NO,0,NO,0,2008-09-04 14:48:27 +0000,[maven-release-plugin] prepare for next development iteration,0,0
82,12bbeacc,FAIL,28,NO,0,NO,0,2008-09-04 14:53:28 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.oro-2.0.8_1,0,0
83,a4cc3f89,FAIL,14,NO,0,NO,0,2008-09-04 14:53:35 +0000,[maven-release-plugin] prepare for next development iteration,0,0
84,53dcbe15,FAIL,14,NO,0,NO,0,2008-09-04 14:54:33 +0000,[maven-release-plugin] prepare release org.apache.servicemix.bundles.oscore-2.2.4_1,0,0
85,b9200c8a,FAIL,17,NO,0,NO,0,2008-09-04 14:54:43 +0000,[maven-release-plugin] prepare for next development iteration,0,0
