error,count
state load_at_end of route [start=[type=start][locationId=vehLoc][twStart=0][twEnd=oo]][end=[type=end][locationId=vehLoc][twStart=0][twEnd=oo]][departureTime=0.0][vehicle=[id=v][type=[typeId=vType][capacity=0][fixed=0.0][perTime=0.0][perDistance=1.0]][locationId=vehLoc][coord=[x=0.0][y=0.0]][isReturnToDepot=true]][driver=jsprit.core.problem.driver.DriverImpl$NoDriver@54e7df6a][nuOfActs=1] is missing.,1
arguments must not be null,2
1,4
activity index is 0. this should not be.,4
breaks are not yet supported when dealing with infinite fleet. either set it to finite or omit breaks.,1
"
Unfinished stubbing detected here:
-&gt; at jsprit.core.algorithm.recreate.TestInserter.whenInsertingServiceAndRouteIsOpen_itInsertsCorrectlyAndSwitchesEndLocation(TestInserter.java:100)

E.g. thenReturn() may be missing.
Examples of correct stubbing:
    when(mock.isOk()).thenReturn(true);
    when(mock.isOk()).thenThrow(exception);
    doThrow(exception).when(mock).someVoidMethod();
Hints:
 1. missing thenReturn()
 2. you are trying to stub a final method, you naughty developer!
",2
arrTime &gt; latestArrTime,204
2,1
&#x27;costs.service&#x27; doesn&#x27;t map to an existing object,94
numerator &gt; 0 and denominator = 0. cannot divide by 0,1
