error,count
cannot initialize module com.puppycrawl.tools.checkstyle.TreeWalker - Cannot set property &#x27;file&#x27; to &#x27;/home/bugs/projects/checkstyle/src/test/resources/com/puppycrawl/tools/checkstyle/checks/imports/importcontrol/InputImportControlPkgRegExpInChild.xml&#x27; in module com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheck,3
cannot initialize module com.puppycrawl.tools.checkstyle.TreeWalker - Cannot set property &#x27;file&#x27; to &#x27;/home/bugs/projects/checkstyle/src/test/resources/com/puppycrawl/tools/checkstyle/checks/imports/importcontrol/InputImportControlTwoRegExp.xml&#x27; in module com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheck,3
cannot initialize module com.puppycrawl.tools.checkstyle.TreeWalker - Cannot set property &#x27;file&#x27; to &#x27;/home/bugs/projects/checkstyle/src/test/resources/com/puppycrawl/tools/checkstyle/checks/imports/importcontrol/InputImportControlPkgRegExpInParent.xml&#x27; in module com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheck,3
cannot initialize module com.puppycrawl.tools.checkstyle.TreeWalker - Cannot set property &#x27;file&#x27; to &#x27;/home/bugs/projects/checkstyle/src/test/resources/com/puppycrawl/tools/checkstyle/checks/imports/importcontrol/InputImportControlPkgRegExpInBoth.xml&#x27; in module com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheck,3
cannot initialize module com.puppycrawl.tools.checkstyle.TreeWalker - Cannot set property &#x27;file&#x27; to &#x27;/home/bugs/projects/checkstyle/src/test/resources/com/puppycrawl/tools/checkstyle/checks/imports/importcontrol/InputImportControlBlacklist.xml&#x27; in module com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheck,3
Error was thrown while processing src/main/java/com/puppycrawl/tools/checkstyle/checks/javadoc/AtclauseOrderCheck.java,1
"cannot initialize module com.puppycrawl.tools.checkstyle.TreeWalker - Property &#x27;shouldStartLine&#x27; in module com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck does not exist, please check the documentation",1
Error was thrown while processing src/main/java/com/puppycrawl/tools/checkstyle/checks/blocks/LeftCurlyCheck.java,1
Error was thrown while processing src/main/java/com/puppycrawl/tools/checkstyle/checks/annotation/PackageAnnotationCheck.java,1
Error was thrown while processing src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/FallThroughCheck.java,1
Error was thrown while processing src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/CovariantEqualsCheck.java,1
Error was thrown while processing /home/bugs/projects/checkstyle/src/test/resources-noncompilable/com/puppycrawl/tools/checkstyle/checks/indentation/indentation/InputIndentationCheckSwitchExpression.java,1
