error,count
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/nested/NestedForEach.xml ### The error may involve org.apache.ibatis.submitted.nested.Mapper.simpleSelect-Inline ### The error occurred while setting parameters ### SQL: select *     from names      WHERE lastName = ? ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match,1
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/nested/NestedForEach.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select *     from names      WHERE id in (         1       ,         3       ,         5       ) ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match",1
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/nested/NestedForEach.xml ### The error may involve org.apache.ibatis.submitted.nested.Mapper.nestedSelect-Inline ### The error occurred while setting parameters ### SQL: select *     from names      WHERE (lastName = ? and firstName = ?)         or           (lastName = ? and firstName = ?) ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match,1
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/nested/NestedForEach.xml ### The error may involve org.apache.ibatis.submitted.nested.Mapper.nestedSelect-Inline ### The error occurred while setting parameters ### SQL: select *     from names      WHERE (lastName = ? and firstName = ?)         or           (lastName = ? and firstName = ?)                         or           (lastName = ? and firstName = ?) ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match,1
" ### Error updating database.  Cause: org.apache.ibatis.executor.ExecutorException: Error selecting key or setting result to parameter object. Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/selectkey/AnnotatedMapper.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select id, name_fred from table2 where id = identity() ### Cause: org.apache.ibatis.executor.ExecutorException: Error selecting key or setting result to parameter object. Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match",2
" ### Error updating database.  Cause: org.apache.ibatis.executor.ExecutorException: Error selecting key or setting result to parameter object. Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match ### The error may exist in org/apache/ibatis/submitted/selectkey/AnnotatedMapper.java (best guess) ### The error may involve org.apache.ibatis.submitted.selectkey.AnnotatedMapper.insertTable2WithSelectKeyWithKeyMap!selectKey-Inline ### The error occurred while setting parameters ### SQL: select id, name_fred from table2 where id = identity() ### Cause: org.apache.ibatis.executor.ExecutorException: Error selecting key or setting result to parameter object. Cause: org.apache.ibatis.reflection.ReflectionException: No constructors match",2
 ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.String] ### The error may exist in org/apache/ibatis/submitted/call_setters_on_nulls/Mapper.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select name from users2 ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.String],4
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/call_setters_on_nulls/Mapper.xml ### The error may involve defaultParameterMap ### The error occurred while setting parameters ### SQL: select * from users ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String]",4
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/dynsql/DynSql.xml ### The error may involve org.apache.ibatis.submitted.dynsql.select_simple-Inline ### The error occurred while setting parameters ### SQL: select * from ibtest.names where id = ?      union        select * from ibtest.names where id = ?      union        select * from ibtest.names where id = ? ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/dynsql/DynSql.xml ### The error may involve org.apache.ibatis.submitted.dynsql.ognlStaticMethodCall-Inline ### The error occurred while setting parameters ### SQL: SELECT *     FROM ibtest.names     WHERE description LIKE &#x27;Rock &#x27;&#x27;n Roll&#x27;     ORDER BY id ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String]",2
" ### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String] ### The error may exist in org/apache/ibatis/submitted/dynsql/DynSql.xml ### The error may involve org.apache.ibatis.submitted.dynsql.select-Inline ### The error occurred while setting parameters ### SQL: select * from ibtest.names where id = ?                            union            select * from ibtest.names where id = ?                            union            select * from ibtest.names where id = ? ### Cause: org.apache.ibatis.reflection.ReflectionException: No constructor found in java.util.Map matching [java.lang.Integer, java.lang.String]",2
