error,count
Error resolving artifact org.ops4j.pax.exam:pax-exam-inject:jar:4.10.0,8
The configuration of the pool is sealed once started.  Use HikariConfigMXBean for runtime changes.,6
Bad thing happens on datasource.,1
"testShutdown5 - Connection is not available, request timed out after 30000ms.",1
"testMaxLifetime - Connection is not available, request timed out after 2501ms.",1
"testMaxLifetime2 - Connection is not available, request timed out after 2500ms.",1
"testEviction - Connection is not available, request timed out after 2501ms.",1
"recordConnectionTimeout - Connection is not available, request timed out after 251ms.",1
"testConnectionRetries3 - Connection is not available, request timed out after 2800ms.",2
"testConnectionRetries5 - Connection is not available, request timed out after 1000ms.",2
"testConnectionIdleFill - Connection is not available, request timed out after 2001ms.",2
"testShutdown5 - Connection is not available, request timed out after 30002ms.",1
"testMaxLifetime - Connection is not available, request timed out after 2502ms.",1
"testMaxLifetime2 - Connection is not available, request timed out after 2501ms.",1
"testEviction - Connection is not available, request timed out after 2502ms.",1
"recordConnectionTimeout - Connection is not available, request timed out after 250ms.",1
"testStatementProxy - Connection is not available, request timed out after 30000ms.",1
"testOtherExceptions - Connection is not available, request timed out after 30000ms.",1
"testProxyCreation - Connection is not available, request timed out after 30000ms.",1
"testStatementExceptions - Connection is not available, request timed out after 1000ms.",1
