id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
1161,d6e57c3f,FAIL,13,NO,0,NO,0,2017-09-16 20:19:49 -0500,[jdbc] Use `TEXT` for fields instead of VARCHAR (#910),192,17006
1162,4e84b763,FAIL,12,NO,0,NO,0,2017-09-19 11:53:06 -0700,"[core] Change the RemainingFormatter to reflect non-plural times, fixing #825. NOTE if you parse the standard out of YCSB, you'll be missing the ""s"" sometimes.",192,17006
1163,71a9ee5d,FAIL,14,NO,0,NO,0,2017-09-19 21:09:18 -0700,Merge pull request #1029 from manolama/i825,192,17006
1164,5fbded72,FAIL,13,NO,0,NO,0,2017-09-19 11:11:00 -0700,[core] add some missing DBs to the YCSB help script.,192,17006
1165,259c9658,FAIL,14,NO,0,NO,0,2017-09-18 18:41:15 -0700,[hbase098] Fix #923 by interrupting the current thread.,192,17008
1166,942a3174,FAIL,14,NO,0,NO,0,2017-09-18 23:25:31 -0700,"[core] Add a CONTRIBUTING.md file to fix #245. Also addressed @jasontedor review, thanks!",192,17008
1167,1a3c8cb9,FAIL,13,NO,0,NO,0,2017-09-21 12:56:44 -0700,[hbase10] Address #701 by mimicking the same locks from the HBase 0.9… (#1028),192,17002
1168,28b924bf,FAIL,14,NO,0,NO,0,2017-09-21 19:36:09 -0500,"[scripts, core] cleanup bindings (#1031)",192,17002
1169,af424b08,FAIL,12,NO,0,NO,0,2017-09-17 05:49:34 -0500,[version] update master branch to 0.14,192,17002
1170,278b522d,FAIL,12,NO,0,NO,0,2017-09-22 07:04:36 -0500,[hbase094] remove the hbase 0.94 binding. (#1032),192,17002
1171,600703cf,FAIL,15,NO,0,NO,0,2017-09-22 07:11:58 -0500,Merge remote-tracking branch 'mdrob/master',192,17003
1172,f31b2339,FAIL,39,NO,0,NO,0,2017-09-22 07:29:46 -0500,"[accumulo, accumulo1.6, accumulo1.7, accumulo1.8] switch Accumulo to minor version specific bindings.",198,17732
1173,c53318cf,FAIL,13,NO,0,NO,0,2017-10-02 22:00:01 +0100,[cloudspanner] Update Cloud Spanner Client version to 0.24.0-beta (#1043),192,17002
1174,8603c101,FAIL,14,NO,0,NO,0,2017-10-07 21:31:06 -0500,Merge pull request #1034 from busbey/accumulo-modules,198,17732
1175,3d6ed690,FAIL,14,NO,0,NO,0,2017-12-02 16:16:02 -0500,[accumulo] README was incorrectly referencing aerospike-binding (#1056),198,17732
1176,ca25820e,FAIL,12,NO,0,NO,0,2018-02-06 18:47:19 +0000,When the TimeSeriesWorkload was run with fieldcount=1 and tagcount=1 and tagcardinality=1 the data generated always had the same timestamp. This commit fixes this behavior by forcing a tag rollover when there is only one tag. (#1091),198,17755
1177,2218649a,FAIL,14,NO,0,NO,0,2018-03-20 00:37:13 +0100,[core] changes to enable folding YCSB-TS back into YCSB (#1095),199,17899
1178,a1f9d359,FAIL,15,NO,0,NO,0,2018-03-22 11:54:16 -0500,"[hbase098, hbase10, scripts] deprecate bindings for EOM HBase versions.",199,17899
1179,25ab00de,FAIL,14,NO,0,NO,0,2018-03-22 11:55:29 -0500,[hbase14] Add HBase 1.4 binding.,202,18036
1180,326c244c,FAIL,15,NO,0,NO,0,2018-03-22 11:55:56 -0500,[hbase20] Add HBase 2.0 binding.,205,18173
1181,2a7a77f8,FAIL,14,NO,0,NO,0,2018-03-23 13:56:36 -0500,Merge pull request #1113 from busbey/hbase-client-updates,205,18173
1182,f8b1b9c3,FAIL,16,NO,0,NO,0,2018-03-23 22:16:23 +0300,[core] replace custom ThreadLocalRandom with standard one (#1110),205,18172
1183,9d0af873,FAIL,15,NO,0,NO,0,2018-03-23 14:11:36 -0500,"[accumulo1.6, scripts] deprecate Accumulo 1.6 client, since Accumulo 1.6 is EOM.",205,18172
1184,f886c1e7,FAIL,14,NO,0,NO,0,2018-03-27 21:28:46 -0700,[geode] Ensure geode client will work with v1.3 by removing references to internal classes (#1069),205,18190
1185,3f077150,FAIL,14,NO,0,NO,0,2018-04-19 14:26:20 -0500,[hbase10] Remove use of guava,205,18185
1186,efab9054,FAIL,14,NO,0,NO,0,2018-05-12 01:17:18 +0800,[mongodb] update mongodb-java-driver to latest 3.6.3 (#1138),205,18185
1187,fb85b598,FAIL,15,NO,0,NO,0,2018-05-11 16:04:43 -0700,[maprdb maprjsondb] Added clients for MapR-DB and MapR-JSONDB (#1063),210,18330
1188,682be7fb,FAIL,15,NO,0,NO,0,2018-05-11 19:07:39 -0400,[bigtable] update bigtable to 1.0 (#1070),210,18328
1189,3b6059bb,FAIL,15,NO,0,NO,0,2018-05-18 17:33:31 -0500,[core] Fix ycsb.sh and ycsb.bat missing core dependencies (#908),210,18328
1190,336a173e,FAIL,15,NO,0,NO,0,2018-05-18 15:42:22 -0700,[kudu] Kudu binding update (#1098),210,18351
1191,7273f152,FAIL,14,NO,0,NO,0,2018-05-18 18:42:40 -0400,[bigtable] Update Bigtable client version to 1.3.0 (latest). (#1147),210,18351
1192,c4807a93,FAIL,15,NO,0,NO,0,2018-05-19 16:22:26 +0200,[redis] Redis cluster support (#1072),210,18368
1193,842459e8,FAIL,17,NO,0,NO,0,2018-05-19 14:32:44 -0500,[code] update slf4j-api to 1.7.25,210,18351
1194,e3d7b0d8,FAIL,14,NO,0,NO,0,2018-05-20 12:24:33 -0400,Merge pull request #1149 from busbey/slf4j-update,210,18368
1195,38052885,FAIL,14,NO,0,NO,0,2018-05-20 17:14:58 -0700,[cassandra] Update CassandraCQLClient to use PreparedStatement for better performance (#1051),210,18496
1196,542b7e94,FAIL,15,NO,0,NO,0,2018-05-18 21:28:36 -0500,[hbase20] update hbase 2 version to 2.0.0 GA,210,18496
